Operation_Date,Year,Month,Quarter,Day_of_Week,Weekend,Peak_Season,Warehouse_ID,Warehouse_Type,Warehouse_Area_sq_m,Temperature_C,Humidity_Percentage,Weather_Condition,Warehouse_Occupancy_Percentage,Total_Shipments,Total_Cargo_Weight_kg,Total_Cargo_Volume_m3,Number_of_Flights,Forklift_Operating_Hours,Conveyor_Operating_Hours,HVAC_Operating_Hours,Lighting_Operating_Hours,Equipment_Utilization_Percentage,Staff_Count,Staff_Availability_Percentage,Energy_Consumption_kWh
2022-06-10,2022,6,2,Friday,Yes,Yes,LA001,Live Animal,11771,37.7,57,Sunny,63,35,1065.65,14.28,1,2.4,0.0,7.1,24.0,35.3,21,95.9,133.14
2022-06-10,2022,6,2,Friday,Yes,Yes,VW001,Valuable,4419,37.7,57,Sunny,22,15,161.79,0.82,1,0.6,0.3,4.0,24.0,14.7,9,97.1,71.31
2022-06-10,2022,6,2,Friday,Yes,Yes,WH001,General,23238,37.7,57,Sunny,82,369,39445.21,206.87,23,10.3,6.7,6.6,24.0,84.3,71,91.7,91.3
2022-06-10,2022,6,2,Friday,Yes,Yes,WH002,General,18912,37.7,57,Sunny,91,252,25314.73,108.84,10,7.8,4.3,6.5,24.0,72.7,68,90.0,84.38
2022-06-10,2022,6,2,Friday,Yes,Yes,WH003,General,18204,37.7,57,Sunny,69,284,33440.83,165.81,14,8.2,4.9,6.6,24.0,62.3,57,93.5,84.52
2022-06-10,2022,6,2,Friday,Yes,Yes,WH004,General,24074,37.7,57,Sunny,62,173,21202.6,121.52,8,6.0,2.8,7.2,24.0,53.9,53,94.8,79.89
2022-06-10,2022,6,2,Friday,Yes,Yes,WH005,General,20253,37.7,57,Sunny,70,257,26341.0,125.47,10,7.5,4.4,7.0,24.0,63.2,69,95.0,82.37
2022-06-10,2022,6,2,Friday,Yes,Yes,WH006,General,20006,37.7,57,Sunny,99,341,39916.74,199.89,17,9.9,6.4,6.8,24.0,87.6,58,86.3,94.82
2022-06-11,2022,6,2,Saturday,Yes,Yes,CW001,Cold,13828,38.7,49,Hot,94,282,28288.93,108.53,14,8.4,3.4,12.2,24.0,79.6,56,88.9,194.59
2022-06-11,2022,6,2,Saturday,Yes,Yes,CW002,Cold,13143,38.7,49,Hot,74,148,15689.87,73.13,6,4.8,1.9,12.5,24.0,49.5,34,86.1,187.78
2022-06-11,2022,6,2,Saturday,Yes,Yes,DG001,Dangerous Goods,11016,38.7,49,Hot,58,56,3045.78,8.25,2,2.5,0.4,7.4,24.0,28.7,26,95.3,114.33
2022-06-11,2022,6,2,Saturday,Yes,Yes,EX001,Express,14467,38.7,49,Hot,66,173,4123.04,35.5,8,5.5,5.9,7.3,24.0,57.3,36,86.3,123.81
2022-06-11,2022,6,2,Saturday,Yes,Yes,LA001,Live Animal,11771,38.7,49,Hot,56,13,429.79,5.2,1,1.4,0.0,7.0,24.0,25.8,18,85.7,131.88
2022-06-11,2022,6,2,Saturday,Yes,Yes,VW001,Valuable,4419,38.7,49,Hot,74,24,188.6,1.15,1,1.7,0.2,4.1,24.0,40.2,14,86.1,70.93
2022-06-11,2022,6,2,Saturday,Yes,Yes,WH001,General,23238,38.7,49,Hot,99,267,25758.82,139.62,12,8.5,4.7,7.7,24.0,82.9,61,94.8,86.27
2022-06-11,2022,6,2,Saturday,Yes,Yes,WH002,General,18912,38.7,49,Hot,61,211,19877.7,94.16,12,6.0,3.7,7.5,24.0,57.9,53,95.8,82.87
2022-06-11,2022,6,2,Saturday,Yes,Yes,WH003,General,18204,38.7,49,Hot,70,202,24655.84,112.14,10,6.3,3.8,7.2,24.0,60.3,48,90.5,85.94
2022-06-11,2022,6,2,Saturday,Yes,Yes,WH004,General,24074,38.7,49,Hot,75,240,28547.54,125.0,10,7.2,3.8,6.8,24.0,66.3,55,85.4,92.59
2022-06-11,2022,6,2,Saturday,Yes,Yes,WH005,General,20253,38.7,49,Hot,63,293,28329.33,117.16,17,8.0,5.0,7.7,24.0,60.6,60,90.9,87.97
2022-06-11,2022,6,2,Saturday,Yes,Yes,WH006,General,20006,38.7,49,Hot,99,409,35140.31,153.45,24,11.6,7.5,7.4,24.0,95.0,64,94.8,92.98
2022-06-12,2022,6,2,Sunday,No,Yes,CW001,Cold,13828,37.4,50,Sunny,83,224,22986.54,94.59,9,7.0,2.3,11.7,24.0,66.4,40,87.3,181.59
2022-06-12,2022,6,2,Sunday,No,Yes,CW002,Cold,13143,37.4,50,Sunny,99,246,26642.2,109.8,13,6.9,2.8,12.2,24.0,65.2,56,86.8,191.52
2022-06-12,2022,6,2,Sunday,No,Yes,DG001,Dangerous Goods,11016,37.4,50,Sunny,38,45,3072.02,6.6,1,2.0,0.3,7.3,24.0,22.9,19,86.7,111.86
2022-06-12,2022,6,2,Sunday,No,Yes,EX001,Express,14467,37.4,50,Sunny,96,387,4415.3,35.8,18,10.9,13.4,6.9,24.0,95.0,59,91.1,129.24
2022-06-12,2022,6,2,Sunday,No,Yes,LA001,Live Animal,11771,37.4,50,Sunny,36,19,447.24,4.82,1,0.8,0.0,7.0,24.0,21.3,11,89.9,134.1
2022-06-12,2022,6,2,Sunday,No,Yes,VW001,Valuable,4419,37.4,50,Sunny,41,17,139.24,0.82,1,1.3,0.5,3.9,24.0,17.7,16,97.7,65.7
2022-06-12,2022,6,2,Sunday,No,Yes,WH001,General,23238,37.4,50,Sunny,62,202,24349.7,106.32,8,5.9,4.0,6.8,24.0,55.6,63,94.8,84.19
2022-06-12,2022,6,2,Sunday,No,Yes,WH002,General,18912,37.4,50,Sunny,67,273,28839.25,152.65,11,8.3,4.5,6.9,24.0,68.7,67,90.0,89.23
2022-06-12,2022,6,2,Sunday,No,Yes,WH003,General,18204,37.4,50,Sunny,96,331,36926.3,222.47,20,9.5,5.4,6.6,24.0,87.7,74,87.9,87.84
2022-06-12,2022,6,2,Sunday,No,Yes,WH004,General,24074,37.4,50,Sunny,84,398,34896.22,188.86,19,10.6,6.7,6.7,24.0,81.9,68,93.1,91.65
2022-06-12,2022,6,2,Sunday,No,Yes,WH005,General,20253,37.4,50,Sunny,95,313,30139.25,159.64,12,8.8,5.5,7.1,24.0,80.8,57,94.5,90.31
2022-06-12,2022,6,2,Sunday,No,Yes,WH006,General,20006,37.4,50,Sunny,79,339,34615.38,174.4,18,8.9,6.4,6.5,24.0,75.8,63,87.2,92.55
2022-06-13,2022,6,2,Monday,No,Yes,CW001,Cold,13828,37.5,47,Dust Storm,99,254,27825.33,116.55,13,7.7,2.7,11.6,24.0,68.9,56,94.7,193.63
2022-06-13,2022,6,2,Monday,No,Yes,CW002,Cold,13143,37.5,47,Dust Storm,99,257,23373.13,84.12,15,7.4,2.9,11.7,24.0,76.2,57,94.4,187.44
2022-06-13,2022,6,2,Monday,No,Yes,DG001,Dangerous Goods,11016,37.5,47,Dust Storm,40,54,2774.27,5.83,2,2.0,0.0,6.7,24.0,21.5,24,96.1,108.01
2022-06-13,2022,6,2,Monday,No,Yes,EX001,Express,14467,37.5,47,Dust Storm,69,168,3500.4,28.87,7,5.9,5.8,6.4,24.0,55.5,36,96.3,116.24
2022-06-13,2022,6,2,Monday,No,Yes,LA001,Live Animal,11771,37.5,47,Dust Storm,46,11,308.07,4.34,1,1.5,0.0,6.7,24.0,27.4,13,96.4,130.13
2022-06-13,2022,6,2,Monday,No,Yes,VW001,Valuable,4419,37.5,47,Dust Storm,62,19,201.3,1.5,1,1.9,0.3,3.9,24.0,29.5,9,97.3,73.73
2022-06-13,2022,6,2,Monday,No,Yes,WH001,General,23238,37.5,47,Dust Storm,88,388,39292.29,255.03,16,10.7,6.8,7.2,24.0,89.4,60,85.2,94.53
2022-06-13,2022,6,2,Monday,No,Yes,WH002,General,18912,37.5,47,Dust Storm,70,231,28285.2,120.9,13,7.5,4.0,7.1,24.0,62.4,56,98.4,83.86
2022-06-13,2022,6,2,Monday,No,Yes,WH003,General,18204,37.5,47,Dust Storm,66,196,22620.27,129.71,8,6.4,3.4,6.7,24.0,57.8,61,85.7,81.5
2022-06-13,2022,6,2,Monday,No,Yes,WH004,General,24074,37.5,47,Dust Storm,94,293,25873.26,105.83,19,9.0,4.8,6.4,24.0,83.4,67,85.1,89.56
2022-06-13,2022,6,2,Monday,No,Yes,WH005,General,20253,37.5,47,Dust Storm,69,290,28694.33,138.5,16,8.3,5.5,7.3,24.0,71.5,60,88.1,85.94
2022-06-13,2022,6,2,Monday,No,Yes,WH006,General,20006,37.5,47,Dust Storm,95,329,32678.34,136.48,13,9.2,5.6,6.8,24.0,85.0,68,88.4,95.0
2022-06-14,2022,6,2,Tuesday,No,Yes,CW001,Cold,13828,40.7,42,Dust Storm,80,243,23309.32,82.94,13,6.9,2.5,12.6,24.0,63.7,41,86.2,190.56
2022-06-14,2022,6,2,Tuesday,No,Yes,CW002,Cold,13143,40.7,42,Dust Storm,82,217,23377.31,107.64,12,6.2,2.4,12.5,24.0,60.2,45,91.3,187.53
2022-06-14,2022,6,2,Tuesday,No,Yes,DG001,Dangerous Goods,11016,40.7,42,Dust Storm,66,90,5669.51,16.8,3,3.2,0.6,8.1,24.0,39.0,30,93.2,119.44
2022-06-14,2022,6,2,Tuesday,No,Yes,EX001,Express,14467,40.7,42,Dust Storm,92,321,5534.9,45.82,13,8.6,11.3,8.2,24.0,86.4,52,89.9,123.2
2022-06-14,2022,6,2,Tuesday,No,Yes,LA001,Live Animal,11771,40.7,42,Dust Storm,46,26,882.08,9.0,1,1.0,0.0,7.6,24.0,24.3,15,86.7,135.82
2022-06-14,2022,6,2,Tuesday,No,Yes,VW001,Valuable,4419,40.7,42,Dust Storm,61,49,297.02,2.24,2,2.2,0.3,4.8,24.0,36.5,17,89.1,74.44
2022-06-14,2022,6,2,Tuesday,No,Yes,WH001,General,23238,40.7,42,Dust Storm,97,276,25375.33,118.37,15,8.3,5.4,7.6,24.0,83.4,58,93.7,86.43
2022-06-14,2022,6,2,Tuesday,No,Yes,WH002,General,18912,40.7,42,Dust Storm,75,215,26216.78,118.83,8,6.7,3.7,7.8,24.0,58.0,69,85.3,91.0
2022-06-14,2022,6,2,Tuesday,No,Yes,WH003,General,18204,40.7,42,Dust Storm,66,211,26248.78,120.72,10,6.6,3.6,8.6,24.0,55.2,63,97.5,92.55
2022-06-14,2022,6,2,Tuesday,No,Yes,WH004,General,24074,40.7,42,Dust Storm,92,247,29608.53,122.79,13,7.4,4.7,8.6,24.0,70.9,68,98.3,92.51
2022-06-14,2022,6,2,Tuesday,No,Yes,WH005,General,20253,40.7,42,Dust Storm,77,209,24971.47,129.21,11,6.8,3.8,7.9,24.0,63.2,51,95.5,84.52
2022-06-14,2022,6,2,Tuesday,No,Yes,WH006,General,20006,40.7,42,Dust Storm,90,321,33375.92,174.91,16,9.4,6.0,7.7,24.0,80.5,59,92.1,91.94
2022-06-15,2022,6,2,Wednesday,No,Yes,CW001,Cold,13828,37.4,44,Dust Storm,96,246,24685.78,84.88,12,6.9,2.7,12.3,24.0,67.4,50,88.5,188.3
2022-06-15,2022,6,2,Wednesday,No,Yes,CW002,Cold,13143,37.4,44,Dust Storm,89,215,21873.37,95.91,8,6.5,2.4,11.9,24.0,62.5,45,94.3,190.7
2022-06-15,2022,6,2,Wednesday,No,Yes,DG001,Dangerous Goods,11016,37.4,44,Dust Storm,73,56,4561.87,11.06,3,2.7,0.4,7.0,24.0,41.3,24,96.6,111.09
2022-06-15,2022,6,2,Wednesday,No,Yes,EX001,Express,14467,37.4,44,Dust Storm,99,233,3574.33,26.79,12,7.3,7.5,7.3,24.0,76.2,44,90.6,120.09
2022-06-15,2022,6,2,Wednesday,No,Yes,LA001,Live Animal,11771,37.4,44,Dust Storm,78,26,1021.44,12.69,1,2.2,0.0,7.0,24.0,43.2,17,99.0,139.93
2022-06-15,2022,6,2,Wednesday,No,Yes,VW001,Valuable,4419,37.4,44,Dust Storm,49,28,284.92,2.3,1,1.9,0.4,4.1,24.0,22.4,13,88.4,73.77
2022-06-15,2022,6,2,Wednesday,No,Yes,WH001,General,23238,37.4,44,Dust Storm,97,422,37225.11,230.62,22,11.4,7.0,7.2,24.0,88.7,82,87.6,91.04
2022-06-15,2022,6,2,Wednesday,No,Yes,WH002,General,18912,37.4,44,Dust Storm,99,334,35375.32,181.67,15,9.5,5.9,6.4,24.0,80.2,61,93.3,86.89
2022-06-15,2022,6,2,Wednesday,No,Yes,WH003,General,18204,37.4,44,Dust Storm,67,218,21493.89,142.04,8,6.7,4.2,6.4,24.0,59.6,49,90.6,86.98
2022-06-15,2022,6,2,Wednesday,No,Yes,WH004,General,24074,37.4,44,Dust Storm,84,273,34075.46,205.02,15,8.0,4.6,6.4,24.0,70.1,54,85.2,93.82
2022-06-15,2022,6,2,Wednesday,No,Yes,WH005,General,20253,37.4,44,Dust Storm,99,340,29169.46,178.29,17,10.1,6.4,7.0,24.0,85.7,75,91.3,88.81
2022-06-15,2022,6,2,Wednesday,No,Yes,WH006,General,20006,37.4,44,Dust Storm,99,374,46662.37,212.36,18,10.5,6.9,6.4,24.0,88.2,71,98.2,98.56
2022-06-16,2022,6,2,Thursday,No,Yes,CW001,Cold,13828,36.6,57,Sunny,89,265,27214.96,91.42,11,7.9,3.0,11.8,24.0,66.0,51,89.8,186.78
2022-06-16,2022,6,2,Thursday,No,Yes,CW002,Cold,13143,36.6,57,Sunny,86,267,24994.58,123.05,12,7.2,2.8,12.1,24.0,63.1,56,88.5,183.22
2022-06-16,2022,6,2,Thursday,No,Yes,DG001,Dangerous Goods,11016,36.6,57,Sunny,47,65,3475.86,9.56,2,2.1,0.3,6.8,24.0,23.8,25,88.6,105.96
2022-06-16,2022,6,2,Thursday,No,Yes,EX001,Express,14467,36.6,57,Sunny,68,237,4933.52,35.88,10,6.5,8.4,7.0,24.0,64.8,43,94.5,115.28
2022-06-16,2022,6,2,Thursday,No,Yes,LA001,Live Animal,11771,36.6,57,Sunny,74,39,1200.7,23.54,2,2.7,0.0,6.7,24.0,39.1,19,98.2,134.85
2022-06-16,2022,6,2,Thursday,No,Yes,VW001,Valuable,4419,36.6,57,Sunny,74,51,269.66,2.14,3,2.5,0.4,3.9,24.0,40.5,11,90.9,69.61
2022-06-16,2022,6,2,Thursday,No,Yes,WH001,General,23238,36.6,57,Sunny,60,172,17770.25,99.81,7,5.9,3.1,6.8,24.0,55.4,61,97.7,86.94
2022-06-16,2022,6,2,Thursday,No,Yes,WH002,General,18912,36.6,57,Sunny,99,384,36781.69,160.73,19,10.8,7.3,6.1,24.0,87.6,73,86.9,92.71
2022-06-16,2022,6,2,Thursday,No,Yes,WH003,General,18204,36.6,57,Sunny,84,260,25785.21,118.47,10,7.4,5.1,6.1,24.0,70.5,61,87.9,84.54
2022-06-16,2022,6,2,Thursday,No,Yes,WH004,General,24074,36.6,57,Sunny,64,205,24877.62,118.66,8,6.6,3.8,6.9,24.0,57.9,58,87.6,88.19
2022-06-16,2022,6,2,Thursday,No,Yes,WH005,General,20253,36.6,57,Sunny,67,208,18863.41,87.46,8,6.0,4.2,6.2,24.0,60.1,56,87.1,83.58
2022-06-16,2022,6,2,Thursday,No,Yes,WH006,General,20006,36.6,57,Sunny,86,290,34001.04,184.39,19,8.5,5.2,6.6,24.0,76.7,65,89.1,93.77
2022-06-17,2022,6,2,Friday,Yes,Yes,CW001,Cold,13828,36.6,53,Sunny,81,169,14016.61,54.97,8,5.6,1.6,11.5,24.0,55.7,51,86.6,176.6
2022-06-17,2022,6,2,Friday,Yes,Yes,CW002,Cold,13143,36.6,53,Sunny,80,229,21850.11,89.14,15,6.6,2.4,12.1,24.0,64.2,42,90.2,181.93
2022-06-17,2022,6,2,Friday,Yes,Yes,DG001,Dangerous Goods,11016,36.6,53,Sunny,56,47,2947.46,9.76,2,1.6,0.3,6.5,24.0,26.3,25,92.8,105.31
2022-06-17,2022,6,2,Friday,Yes,Yes,EX001,Express,14467,36.6,53,Sunny,72,173,1925.97,19.84,7,5.9,5.9,6.2,24.0,58.9,39,88.4,116.07
2022-06-17,2022,6,2,Friday,Yes,Yes,LA001,Live Animal,11771,36.6,53,Sunny,47,12,362.43,4.29,1,1.0,0.0,6.7,24.0,24.8,13,96.0,133.39
2022-06-17,2022,6,2,Friday,Yes,Yes,VW001,Valuable,4419,36.6,53,Sunny,36,20,227.59,1.21,1,1.2,0.3,3.9,24.0,16.8,9,88.8,70.07
2022-06-17,2022,6,2,Friday,Yes,Yes,WH001,General,23238,36.6,53,Sunny,72,252,24246.4,140.22,10,7.9,4.5,6.1,24.0,69.4,53,94.2,87.59
2022-06-17,2022,6,2,Friday,Yes,Yes,WH002,General,18912,36.6,53,Sunny,63,204,20353.47,87.89,9,6.1,3.2,6.8,24.0,56.3,55,86.5,81.83
2022-06-17,2022,6,2,Friday,Yes,Yes,WH003,General,18204,36.6,53,Sunny,93,377,43613.0,224.63,17,10.1,6.8,6.2,24.0,87.3,69,93.8,89.14
2022-06-17,2022,6,2,Friday,Yes,Yes,WH004,General,24074,36.6,53,Sunny,66,308,36662.34,215.27,16,8.2,5.9,6.5,24.0,62.8,56,94.6,91.8
2022-06-17,2022,6,2,Friday,Yes,Yes,WH005,General,20253,36.6,53,Sunny,99,447,46642.56,214.13,27,11.7,7.9,6.8,24.0,95.0,78,93.5,93.24
2022-06-17,2022,6,2,Friday,Yes,Yes,WH006,General,20006,36.6,53,Sunny,83,242,29375.92,171.43,14,7.5,4.6,6.2,24.0,71.4,67,91.8,90.76
2022-06-18,2022,6,2,Saturday,Yes,Yes,CW001,Cold,13828,35.6,57,Sunny,79,245,25151.08,100.56,11,7.2,2.9,11.3,24.0,59.5,53,95.7,184.11
2022-06-18,2022,6,2,Saturday,Yes,Yes,CW002,Cold,13143,35.6,57,Sunny,99,279,24151.01,119.25,13,8.1,3.1,11.2,24.0,75.4,52,96.5,184.2
2022-06-18,2022,6,2,Saturday,Yes,Yes,DG001,Dangerous Goods,11016,35.6,57,Sunny,47,37,2867.34,5.91,1,1.8,0.3,6.1,24.0,29.9,19,91.9,106.03
2022-06-18,2022,6,2,Saturday,Yes,Yes,EX001,Express,14467,35.6,57,Sunny,92,384,9037.79,62.38,21,10.2,13.2,6.7,24.0,94.8,53,91.8,127.42
2022-06-18,2022,6,2,Saturday,Yes,Yes,LA001,Live Animal,11771,35.6,57,Sunny,48,9,315.22,3.17,1,0.8,0.0,6.7,24.0,17.5,14,90.4,131.64
2022-06-18,2022,6,2,Saturday,Yes,Yes,VW001,Valuable,4419,35.6,57,Sunny,36,10,79.69,0.47,1,1.2,0.3,3.5,24.0,20.7,9,90.2,66.66
2022-06-18,2022,6,2,Saturday,Yes,Yes,WH001,General,23238,35.6,57,Sunny,67,319,31077.04,188.47,19,8.5,5.8,5.9,24.0,65.1,73,95.4,89.33
2022-06-18,2022,6,2,Saturday,Yes,Yes,WH002,General,18912,35.6,57,Sunny,64,266,28174.42,126.7,10,7.5,4.6,5.8,24.0,63.2,54,94.1,88.07
2022-06-18,2022,6,2,Saturday,Yes,Yes,WH003,General,18204,35.6,57,Sunny,77,318,34664.96,176.34,13,9.0,5.5,6.3,24.0,69.2,56,90.0,84.64
2022-06-18,2022,6,2,Saturday,Yes,Yes,WH004,General,24074,35.6,57,Sunny,67,192,23742.9,98.38,8,5.8,3.2,6.3,24.0,49.2,67,94.4,88.02
2022-06-18,2022,6,2,Saturday,Yes,Yes,WH005,General,20253,35.6,57,Sunny,82,252,23237.46,118.63,10,7.6,4.7,6.7,24.0,64.9,59,96.2,85.0
2022-06-18,2022,6,2,Saturday,Yes,Yes,WH006,General,20006,35.6,57,Sunny,78,317,32274.6,163.61,13,8.8,5.5,6.6,24.0,72.9,71,86.1,88.04
2022-06-19,2022,6,2,Sunday,No,Yes,CW001,Cold,13828,35.6,64,Cloudy,99,245,25721.1,105.04,14,7.6,2.9,11.1,24.0,74.0,47,91.8,188.22
2022-06-19,2022,6,2,Sunday,No,Yes,CW002,Cold,13143,35.6,64,Cloudy,75,146,14193.94,49.09,6,5.3,1.7,11.7,24.0,48.2,39,94.8,175.99
2022-06-19,2022,6,2,Sunday,No,Yes,DG001,Dangerous Goods,11016,35.6,64,Cloudy,52,62,5141.78,12.86,2,2.8,0.2,6.6,24.0,27.8,22,96.2,112.08
2022-06-19,2022,6,2,Sunday,No,Yes,EX001,Express,14467,35.6,64,Cloudy,82,221,2717.69,19.48,12,7.0,7.2,6.7,24.0,75.0,40,91.1,117.18
2022-06-19,2022,6,2,Sunday,No,Yes,LA001,Live Animal,11771,35.6,64,Cloudy,49,18,662.65,8.28,1,1.2,0.0,6.6,24.0,22.5,17,97.7,135.85
2022-06-19,2022,6,2,Sunday,No,Yes,VW001,Valuable,4419,35.6,64,Cloudy,50,20,260.47,2.1,1,1.5,0.3,3.6,24.0,29.6,13,94.6,72.45
2022-06-19,2022,6,2,Sunday,No,Yes,WH001,General,23238,35.6,64,Cloudy,75,315,35959.6,164.19,19,9.1,5.7,6.0,24.0,76.4,75,86.6,89.89
2022-06-19,2022,6,2,Sunday,No,Yes,WH002,General,18912,35.6,64,Cloudy,93,269,26989.33,128.62,14,7.8,5.2,5.8,24.0,77.0,70,86.3,88.39
2022-06-19,2022,6,2,Sunday,No,Yes,WH003,General,18204,35.6,64,Cloudy,71,224,23641.52,132.76,14,6.9,3.5,6.3,24.0,60.9,61,94.1,88.44
2022-06-19,2022,6,2,Sunday,No,Yes,WH004,General,24074,35.6,64,Cloudy,93,368,41247.58,203.61,16,10.4,6.9,6.3,24.0,88.8,78,93.4,89.72
2022-06-19,2022,6,2,Sunday,No,Yes,WH005,General,20253,35.6,64,Cloudy,69,213,22282.63,138.37,9,7.0,4.1,6.8,24.0,63.1,66,93.7,86.49
2022-06-19,2022,6,2,Sunday,No,Yes,WH006,General,20006,35.6,64,Cloudy,60,259,22812.4,133.31,10,7.7,5.0,6.1,24.0,57.2,65,87.8,80.94
2022-06-20,2022,6,2,Monday,No,Yes,CW001,Cold,13828,34.5,67,Sunny,83,197,16543.69,76.18,11,6.3,2.5,10.9,24.0,64.8,45,96.4,178.17
2022-06-20,2022,6,2,Monday,No,Yes,CW002,Cold,13143,34.5,67,Sunny,88,187,19075.05,78.37,9,6.4,1.8,11.3,24.0,60.3,45,87.4,186.55
2022-06-20,2022,6,2,Monday,No,Yes,DG001,Dangerous Goods,11016,34.5,67,Sunny,77,109,9169.11,27.7,4,3.3,0.6,5.7,24.0,42.9,31,89.3,113.69
2022-06-20,2022,6,2,Monday,No,Yes,EX001,Express,14467,34.5,67,Sunny,69,288,6808.17,73.57,18,8.1,10.2,5.5,24.0,73.2,49,93.6,117.34
2022-06-20,2022,6,2,Monday,No,Yes,LA001,Live Animal,11771,34.5,67,Sunny,46,19,636.1,7.45,1,1.3,0.0,5.8,24.0,19.6,16,98.9,134.58
2022-06-20,2022,6,2,Monday,No,Yes,VW001,Valuable,4419,34.5,67,Sunny,70,26,160.68,0.93,1,2.1,0.5,3.5,24.0,37.8,13,86.4,71.25
2022-06-20,2022,6,2,Monday,No,Yes,WH001,General,23238,34.5,67,Sunny,99,335,32798.79,137.78,20,9.8,6.3,6.4,24.0,90.2,70,97.6,95.01
2022-06-20,2022,6,2,Monday,No,Yes,WH002,General,18912,34.5,67,Sunny,67,226,25598.28,134.32,15,6.5,4.1,5.7,24.0,56.6,53,96.5,87.46
2022-06-20,2022,6,2,Monday,No,Yes,WH003,General,18204,34.5,67,Sunny,99,360,35184.08,220.75,17,9.9,6.0,5.7,24.0,89.7,78,90.6,92.81
2022-06-20,2022,6,2,Monday,No,Yes,WH004,General,24074,34.5,67,Sunny,83,236,26201.78,135.86,9,7.2,4.6,6.0,24.0,69.2,51,92.9,89.44
2022-06-20,2022,6,2,Monday,No,Yes,WH005,General,20253,34.5,67,Sunny,99,332,37550.77,191.5,13,9.9,5.6,6.1,24.0,82.0,69,92.1,87.01
2022-06-20,2022,6,2,Monday,No,Yes,WH006,General,20006,34.5,67,Sunny,74,259,31991.59,162.36,12,7.6,4.6,5.6,24.0,63.0,61,98.6,89.14
2022-06-21,2022,6,2,Tuesday,No,Yes,CW001,Cold,13828,34.7,66,Sunny,88,252,23387.52,80.53,12,7.1,2.6,11.4,24.0,65.9,51,85.6,185.9
2022-06-21,2022,6,2,Tuesday,No,Yes,CW002,Cold,13143,34.7,66,Sunny,99,214,17149.08,62.09,8,6.6,2.2,11.3,24.0,72.4,48,95.4,186.64
2022-06-21,2022,6,2,Tuesday,No,Yes,DG001,Dangerous Goods,11016,34.7,66,Sunny,66,80,5207.33,10.57,3,2.9,0.4,6.1,24.0,37.0,21,91.4,115.5
2022-06-21,2022,6,2,Tuesday,No,Yes,EX001,Express,14467,34.7,66,Sunny,99,412,6730.29,82.68,25,10.9,14.0,5.8,24.0,95.0,55,89.0,124.31
2022-06-21,2022,6,2,Tuesday,No,Yes,LA001,Live Animal,11771,34.7,66,Sunny,69,18,718.25,7.36,1,1.3,0.0,5.9,24.0,31.7,16,85.0,133.07
2022-06-21,2022,6,2,Tuesday,No,Yes,VW001,Valuable,4419,34.7,66,Sunny,67,21,288.16,1.54,1,1.8,0.1,3.5,24.0,29.5,9,98.5,68.03
2022-06-21,2022,6,2,Tuesday,No,Yes,WH001,General,23238,34.7,66,Sunny,99,331,28601.48,116.42,18,9.6,6.1,5.9,24.0,90.8,76,87.4,86.8
2022-06-21,2022,6,2,Tuesday,No,Yes,WH002,General,18912,34.7,66,Sunny,84,299,28186.29,149.63,12,8.4,5.7,6.1,24.0,77.1,73,94.5,91.63
2022-06-21,2022,6,2,Tuesday,No,Yes,WH003,General,18204,34.7,66,Sunny,75,288,25940.93,120.45,16,8.1,5.0,6.2,24.0,65.6,67,87.7,90.03
2022-06-21,2022,6,2,Tuesday,No,Yes,WH004,General,24074,34.7,66,Sunny,96,454,49567.86,202.13,23,11.7,7.9,6.4,24.0,94.3,84,88.6,89.84
2022-06-21,2022,6,2,Tuesday,No,Yes,WH005,General,20253,34.7,66,Sunny,90,365,42879.26,255.88,20,10.3,6.2,6.5,24.0,85.5,69,85.3,89.57
2022-06-21,2022,6,2,Tuesday,No,Yes,WH006,General,20006,34.7,66,Sunny,83,229,24755.98,134.0,9,7.4,4.5,6.3,24.0,69.5,65,96.8,90.57
2022-06-22,2022,6,2,Wednesday,No,Yes,CW001,Cold,13828,34.6,56,Sunny,85,214,19222.86,89.55,11,6.7,2.2,11.1,24.0,64.1,47,90.6,186.64
2022-06-22,2022,6,2,Wednesday,No,Yes,CW002,Cold,13143,34.6,56,Sunny,97,311,31772.53,141.55,19,8.7,3.6,11.0,24.0,76.8,58,86.2,192.71
2022-06-22,2022,6,2,Wednesday,No,Yes,DG001,Dangerous Goods,11016,34.6,56,Sunny,41,41,3497.78,7.48,1,1.4,0.3,5.9,24.0,18.9,23,97.5,107.28
2022-06-22,2022,6,2,Wednesday,No,Yes,EX001,Express,14467,34.6,56,Sunny,97,309,7160.35,50.84,17,8.9,10.6,6.0,24.0,87.5,47,85.3,128.18
2022-06-22,2022,6,2,Wednesday,No,Yes,LA001,Live Animal,11771,34.6,56,Sunny,58,25,670.38,10.42,1,2.1,0.0,6.3,24.0,27.5,16,96.9,133.84
2022-06-22,2022,6,2,Wednesday,No,Yes,VW001,Valuable,4419,34.6,56,Sunny,49,35,363.36,2.14,1,1.8,0.5,3.8,24.0,30.3,14,96.0,74.75
2022-06-22,2022,6,2,Wednesday,No,Yes,WH001,General,23238,34.6,56,Sunny,85,369,39859.14,218.09,19,9.9,7.0,6.1,24.0,81.9,77,96.1,88.3
2022-06-22,2022,6,2,Wednesday,No,Yes,WH002,General,18912,34.6,56,Sunny,83,321,27870.01,119.88,16,9.5,6.0,5.9,24.0,80.9,74,87.3,86.87
